Øádek;ID;Zaøízení;Souøadnice_Invipo;Y_Latitude;X_Longitude;Souøadnice_YX;Souøadnice_Google;ID_Zaøízení;ID_Umístìní;Umístìní
1;;K02;50,209693 15,829606;50,209693;15,829606;50,209693 15,829606;50.209693 15.829606;KTD-K02;K02;ÈSA x Mostecká
2;;K03;50,211625 15,831289;50,211625;15,831289;50,211625 15,831289;50.211625 15.831289;KTD-K03;K03;ÈSA x Divišova
3;;K04;50,211438 15,837714;50,211438;15,837714;50,211438 15,837714;50.211438 15.837714;KTD-K04;K04;ÈSA x Pospíšilova
4;;K06;50,210645 15,823129;50,210645;15,823129;50,210645 15,823129;50.210645 15.823129;KTD-K06;K06;Goèárova tøída x K. H. Máchy
5;;K08;50,211107 15,819958;50,211107;15,819958;50,211107 15,819958;50.211107 15.819958;KTD-K08;K08;Goèárova tøída x Støelecká
6;;K09;50,213857 15,821329;50,213857;15,821329;50,213857 15,821329;50.213857 15.821329;KTD-K09;K09;tøída Karla IV. x Støelecká
7;;K11;50,216987 15,824998;50,216987;15,824998;50,216987 15,824998;50.216987 15.824998;KTD-K11;K11;M. D. Rettigové x Resslova
8;;K13;50,217803 15,820897;50,217803;15,820897;50,217803 15,820897;50.217803 15.820897;KTD-K13;K13;Antonína Dvoøáka x Sadovská
9;;K14;50,21736 15,833045;50,21736;15,833045;50,217360 15,833045;50.217360 15.833045;KTD-K14;K14;Pilnáèkova x Akademika Bedrny
10;;K15;50,215583 15,842349;50,215583;15,842349;50,215583 15,842349;50.215583 15.842349;KTD-K15;K15;Okružní x Buzulucká
11;;K16;50,211357 15,847439;50,211357;15,847439;50,211357 15,847439;50.211357 15.847439;KTD-K16;K16;Víta Nejedlého x Okružní
12;;K17;50,207868 15,818653;50,207868;15,818653;50,207868 15,818653;50.207868 15.818653;KTD-K17;K17;Støelecká x V Lipkách
13;;K18;50,203026 15,82191;50,203026;15,82191;50,203026 15,821910;50.203026 15.821910;KTD-K18-1;K18;Rašínova tøída x Sokolská
15;;K19;50,201355 15,830871;50,201355;15,830871;50,201355 15,830871;50.201355 15.830871;KTD-K19;K19;Sokolská x Hradecká
16;;K20;50,202107 15,841937;50,202107;15,841937;50,202107 15,841937;50.202107 15.841937;KTD-K20-1;K20;Brnìnská x Sokolská
18;;K21;50,219302 15,81415;50,219302;15,81415;50,219302 15,814150;50.219302 15.814150;KTD-K21;K21;Antonína Dvoøáka x Na Okrouhlíku
19;;K23;50,190319 15,849484;50,190319;15,849484;50,190319 15,849484;50.190319 15.849484;KTD-K23;K23;Brnìnská x Palachova
20;;K24;50,192151 15,848512;50,192151;15,848512;50,192151 15,848512;50.192151 15.848512;KTD-K24;K24;Brnìnská x Na Brnì
21;;K25;50,195196 15,846962;50,195196;15,846962;50,195196 15,846962;50.195196 15.846962;KTD-K25;K25;Brnìnská x Futurum
22;;K26;50,218919 15,897259;50,218919;15,897259;50,218919 15,897259;50.218919 15.897259;KTD-K26;K26;Podhùrská x Bratøí Štefanù
23;;K30;50,199455 15,818148;50,199455;15,818148;50,199455 15,818148;50.199455 15.818148;KTD-K30;K30;Rašínova tøída x Veverkova
24;;K31;50,196326 15,814072;50,196326;15,814072;50,196326 15,814072;50.196326 15.814072;KTD-K31;K31;Rašínova tøída x Na Rybárnì
25;;K32;50,19738 15,845817;50,19738;15,845817;50,197380 15,845817;50.197380 15.845817;KTD-K32;K32;Brnìnská x Mrštíkova
26;;K40;50,21281 15,85312;50,21281;15,85312;50,212810 15,853120;50.212810 15.853120;KTD-K40;K40;Víta Nejedlého x Jižní
27;;K41;50,214328 15,8592;50,214328;15,8592;50,214328 15,859200;50.214328 15.859200;KTD-K41;K41;Víta Nejedlého x Kladská
28;;K43;50,224629 15,802628;50,224629;15,802628;50,224629 15,802628;50.224629 15.802628;KTD-K43;K43;Koutníkova x Petra Jilemnického
29;;K44;50,209678 15,805126;50,209678;15,805126;50,209678 15,805126;50.209678 15.805126;KTD-K44;K44;Pražská tøída x Za Škodovkou
30;;K46;50,201686 15,778792;50,201686;15,778792;50,201686 15,778792;50.201686 15.778792;KTD-K46;K46;Pražská tøída x Kutnohorská
31;;K47;50,218621 15,833385;50,218621;15,833385;50,218621 15,833385;50.218621 15.833385;KTD-K47;K47;Akademika Bedrny (Piletický potok)
32;;KTD-F/1 (ÈKD);50,23254068002554 15,792474629206732;50,232541;15,792475;50,232541 15,792475;50.232541 15.792475;KTD-KTD-F/1;K-F;Koutníkova - okruh u ÈKD
33;;KTD-F/2 (ÈKD);50,231940498030795 15,791301240378226;50,23194;15,791301;50,231940 15,791301;50.231940 15.791301;KTD-KTD-F/2;K-F;Koutníkova - okruh u ÈKD
34;;KTD-G;50,20159328759637 15,776196966422233;50,201593;15,776197;50,201593 15,776197;50.201593 15.776197;KTD-KTD-G;K-G;Pražská - okruh u HZS
35;;KTD-I;50,2078303 15,8324694;50,20783;15,832469;50,207830 15,832469;50.207830 15.832469;KTD-KTD-I;K-I;I. Herrmanna x Komenského
